NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
Fcho1	1	ENSMUSG00000070000	
Gpatch11	1	ENSMUSG00000050668	
Fcho2	1	ENSMUSG00000041685	
Lrrfip1	1	ENSMUSG00000026305	
Lrrfip2	1	ENSMUSG00000032497	
RP23-112A11.3	1	ENSMUSG00000106496	
Bsg	1	ENSMUSG00000023175	
Bsn	1	ENSMUSG00000032589	
Cyp2d9	1	ENSMUSG00000068086	
Chit1	1	ENSMUSG00000026450	
Spast	1	ENSMUSG00000024068	
Bsx	1	ENSMUSG00000054360	
Btc	1	ENSMUSG00000082361	
Sirpb1b	1	ENSMUSG00000095028	
Btd	1	ENSMUSG00000021900	
Lincpint	1	ENSMUSG00000044471	
Btk	1	ENSMUSG00000031264	
Hip1r	1	ENSMUSG00000000915	
Lap3	1	ENSMUSG00000039682	
Hint1	1	ENSMUSG00000020267	
Hint2	1	ENSMUSG00000028470	
Hint3	1	ENSMUSG00000019791	
Rtf1	1	ENSMUSG00000027304	
Trap1	1	ENSMUSG00000005981	
Cyp2f2	1	ENSMUSG00000052974	
Plxna4os3	1	ENSMUSG00000086720	
Plxna4os1	1	ENSMUSG00000086763	
Chtf18	1	ENSMUSG00000019214	
Plxna4os2	1	ENSMUSG00000086675	
Secisbp2l	1	ENSMUSG00000035093	
Aar2	1	ENSMUSG00000027628	
Rtcb	1	ENSMUSG00000001783	
Rtca	1	ENSMUSG00000000339	
Sec62	1	ENSMUSG00000027706	
BC029214	1	ENSMUSG00000047617	
Aard	1	ENSMUSG00000068522	
Sec63	1	ENSMUSG00000019802	
Sparc	1	ENSMUSG00000018593	
Cyp2e1	1	ENSMUSG00000025479	
1700082M22Rik	1	ENSMUSG00000023737	
Rpl36al	1	ENSMUSG00000049751	
